Hour	Day 1	Day 2	Day 3	Day 4	Day 5	Day 6	Day 7
00:00	0	0	0	0	0	0	0
01:00	0	0	0	0	0	0	0
02:00	0	0	0	0	0	0	0
03:00	0	0	0	0	0	0	0
04:00	0	0	0	0	0	0	0
05:00	50	45	55	60	50	55	45
06:00	100	90	110	120	100	110	90
07:00	200	190	210	230	210	220	200
08:00	250	240	260	280	260	270	250
09:00	300	290	320	340	310	320	300
10:00	320	310	330	350	330	340	320
11:00	310	300	320	340	320	330	310
12:00	290	280	300	320	300	310	290
13:00	270	260	280	300	280	290	270
14:00	250	240	260	280	260	270	250
15:00	230	220	240	260	240	250	230
16:00	210	200	220	240	220	230	210
17:00	150	140	160	180	150	160	140
18:00	100	90	110	120	100	110	90
19:00	50	45	55	60	50	55	45
20:00	0	0	0	0	0	0	0
21:00	0	0	0	0	0	0	0
22:00	0	0	0	0	0	0	0
23:00	0	0	0	0	0	0	0
